flat_idx	TianS1_key	TianS1_label	TianS2_key	TianS2_label	TianS3_key	TianS3_label	TianS4_key	TianS4_label
362818	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362819	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362820	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362821	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362822	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362823	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362902	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362903	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362904	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362905	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362906	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362911	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362912	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362913	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362914	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362915	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362916	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362917	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362918	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362919	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362920	15	PUT-lh	30	pPUT-lh	39	PUT-DP-lh	43	PUT-DP-lh
362921	15	PUT-lh	30	pPUT-lh	39	PUT-DP-lh	43	PUT-DP-lh
362999	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
363000	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
363001	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
363002	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
363004	10	AMY-lh	19	lAMY-lh	44	lAMY-lh	48	lAMY-lh
363009	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
363010	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
363011	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
363012	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
363013	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
363014	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
363015	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
363016	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
363017	15	PUT-lh	30	pPUT-lh	39	PUT-DP-lh	43	PUT-DP-lh
363018	15	PUT-lh	30	pPUT-lh	39	PUT-DP-lh	43	PUT-DP-lh
363098	10	AMY-lh	19	lAMY-lh	44	lAMY-lh	48	lAMY-lh
363099	10	AMY-lh	19	lAMY-lh	44	lAMY-lh	48	lAMY-lh
363100	10	AMY-lh	19	lAMY-lh	44	lAMY-lh	48	lAMY-lh
363101	10	AMY-lh	19	lAMY-lh	44	lAMY-lh	48	lAMY-lh
363107	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
363108	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
363109	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
363110	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
363111	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
